Review,Rating
"""Отличный салон! Качественное обслуживание, доброж...",5 звезд
"""Парикмахерская супер, все шикарно, на высшем уров...",5 звезд
"""Очень классное место, приветливые сотрудники, кач...",5 звезд
"""Стригусь уже здесь года 2, хожу каждый меся, наше...",5 звезд
"""Место хорошее, обычно хожу к Беку, но дело было с...",3 звезды
"""Мне нравится данный барбершоп, отличное соотношен...",5 звезд
"""Спасибо мастерам! Всегда на высшем уровне! Отдель...",5 звезд
"""Хожу в этот салон уже 3 года все устраивает вполн...",5 звезд
"""Очень понравилась стрижка у мастера Саяна Красивы...",5 звезд
"""Хамид Бар Бер очень хорошо стрижет волосы. Супер ...",5 звезд
"""Хорошая атмосфера, хорошие мастера. Недорого, но ...",5 звезд
"""Мастер Музамед профессионал свего дела. Приятная ...",5 звезд
"""Хорошие мастера. Очень комфортно и уютно. Учитыва...",5 звезд
"""Постоянно прихожу в этот салон. Чёрная кость. Сам...",5 звезд
"""Муж стрижется. Ему нравится. Есть онлайн запись. ...",5 звезд
"""Ходили долго, всей семьей, 4 мужчины. После того,...",2 звезды
"""Баха тот еще перец! Место отличное, стригся там н...",5 звезд
"""Уже не первый раз прихожу в вашу парихмахерскую, ...",5 звезд
"""был в двух или трёх заведениях этой франшизой ист...",2 звезды
"""Мастер на все руки это Баха я уже 2 года к нему х...",5 звезд
"""Был у мастера Хана, всё качественно, быстро. Деше...",5 звезд
"""Хороший барбершоп, цены адекватные, записался при...",5 звезд
"""Очень нравится салон. Нужно подобрать мастера под...",5 звезд
"""Вчера была в этом барбер шопе была стрижка  бород...",5 звезд
"""Отличное место, нашел своего мастераРебята достат...",5 звезд
"""хожу в районе 2 лет, очень доволен качеством и це...",5 звезд
"""Пошли в данную студию по рекомендации. Подстригли...",5 звезд
"""Отличное место!Цена  ккчествоБестро, легко, удобн...",5 звезд
"""Классно , очень понравилось. Подстригли малыша до...",5 звезд
"""Всё время стригусь у Бахи. Парень с золотыми рука...",5 звезд
"""Обслуживание хорошее. Мастер Баха обслуживает луч...",1 звезда
"""Муж ходил на стрижкуборода 10 сент. Хуже работы м...",1 звезда
"""Ни где не могла найти такое место,куда дети будут...",4 звезды
"""Отличное место! Отзывчивый персонал, на входе вст...",5 звезд
"""Хороший барбершоп, молодой человек ходит более го...",5 звезд
"""Фото для понимания уровня стрижки. Пришел домой и...",2 звезды
"""Все супер,как встречают,какое отношение,как стриг...",3 звезды
"""Отвратительно! Порезали при бритье, причем не пер...",1 звезда
"""Стригут ужасно. Показал одну фотографию, сделали ...",1 звезда
"""Прекрасный салон! Отличное обслуживание,доброжела...",5 звезд
"""Салют  Посещаю данное место более 1 года. Отличны...",5 звезд
"""Неплохой барбершоп. Расположение удобное для мест...",4 звезды
"""Прекрасное заведение, классный ремонт и стиль, пр...",5 звезд
"""Который год стригусь. Качество и цены норм.""",4 звезды
"""Быстро качественно , много мастеров, удобная запи...",5 звезд
"""Все отлично ! Все супер я ходил к Каждому Отлично...",5 звезд
"""Записаны 14 апреля к мастеру Баха, по приезду в п...",1 звезда
"""Сегодня посетили с сыном данный барбершоп. Сыну в...",5 звезд
"""Отличный барбешоп Отдельное спасибо мастеру Хану ...",5 звезд
"""Отличный барбершоп!!! До этого был и в других фил...",5 звезд
"""Стригусь вгда тамРебята молодцы, стригут хорошо и...",5 звезд
"""Баха крутой барьер , знает своё дело. Лучший из л...",5 звезд
"""Первый раз, не сразу нашел место.Барбер Хан, быст...",5 звезд
"""Хочу сказать, что тут работают мастера. Сделают в...",5 звезд
"""Все отлично ! Рекомендую . Мастер Хан топ своего ...",5 звезд
"""Отличный барбешоп, уже год стригусь здесь Всегда ...",5 звезд
"""Быстро,качественно и не дорого.С записью нет проб...",5 звезд
"""Ужасное отношение администратора, работающей 23.0...",1 звезда
"""Уютно, мастер знает своё дело и цена, приятнее че...",5 звезд
"""Записывала брата на стрижку 20.06.22. Постригли о...",5 звезд
"""Мой молодой человек постоянный гость этого барбер...",5 звезд
"""Стригся вместе с сыном, честно, не понравилась не...",4 звезды
"""Постригли четко без антен, быстро, стрижка очень ...",5 звезд
"""Ходили на стрижку мальчиков 6 и 10 лет, ребята мо...",5 звезд
"""10 декабря, первый раз стриглись в Чёрной кости у...",5 звезд
"""Хорошие мастера, прекрасное обслуживание и привле...",5 звезд
"""Не назввл бы это барбершопом , обычная забегаловк...",2 звезды
"""попросил покороче, парикмахер психанул сказал че ...",1 звезда
"""Все отлично, не первый раз приезжаю сюда и всегда...",5 звезд
"""Не первый раз прихожу стричься в этом месте и мен...",4 звезды
"""Отличный барбер салон, работают профессионалы, по...",5 звезд
"""Часто посещаю данный салон. Все ребята приветливо...",5 звезд
"""Отлично! Подстригался ребенок, полностью доверили...",5 звезд
"""Стригусь у Саяна, очень внимательный к деталям, в...",5 звезд
"""Отличный салон. Постригаюсь у барбера по имени Ба...",5 звезд
"""Отличный мастер. Учел все мои пожелания. Результа...",5 звезд
"""Лучшая парикмахерская которую я нашёл в митино. В...",5 звезд
"""Муж и сын постоянно стригутся тут, оба довольны. ...",5 звезд
"""Меня отказался стрич мастер из за того что перенё...",1 звезда
"""2 год хожу с сыном 7 лет в этот барбер. отличные ...",5 звезд
"""Мастер Хан стрижёт лучше всех , ходил к каждомуВ ...",4 звезды
"""Сын туда ходит на стрижку. Очень нравится. И маст...",4 звезды
"""Встретили, ничего не сказали. Сразу иди стричься....",2 звезды
"""Хорошие мастера, интерьер, не нужно записываться ...",5 звезд
"""Прекрасная парикмахерская, личный респект Бахе! Л...",5 звезд
"""Спасибо большое ,особенно тебе Мастер Баха ! За н...",5 звезд
"""Не первый год муж ходил в этот барбершоп,но сегод...",1 звезда
"""Отличное место, почти куда сюда хожу, мастер Саян...",5 звезд
"""Прекрасное заведение! Отличный мастер  Баха! Подс...",5 звезд
"""Зачем вводить запись и устанавливать тайминг. Есл...",1 звезда
"""Вдвоём с сыном постриглись за 1000 рублей. Интерь...",5 звезд
"""Онлайн запись, цены ниже среднего, расчет только ...",5 звезд
"""Мои соседи услугами не пользовались пока, но за п...",2 звезды
"""так себе место. Был разочарован. Администратор не...",2 звезды
"""За чем угодно, только не за бритье сюда.Очень гру...",2 звезды
"""Отличная парикмахерская, мастера знают толк в сво...",5 звезд
""" ""Мастер Баха тот еще перец! Бек тоже крутой спец...",5 звезд
"""Быстро, просто, дёшево. Что ещё можно сказать про...",5 звезд
"""Нормас нормас Пойдёт мне понравилось!Заходите сле...",4 звезды
"""Кибербарбер, гамай в плойку , пока ждёшь сидишь н...",4 звезды
"""Был тут первый раз. Нашел информацию из instagram...",5 звезд
"""С удовольствием посещаем этот барбершоп с сыном. ...",5 звезд
"""Стригут быстро и недорого. И так себе. Пожелания ...",3 звезды
"""Шикарное место! Была с братом в субботу. Советую ...",5 звезд
""" ""Мастера во время не приезжают Задержка на 20 ми...",1 звезда
"""Мастер Хан. Все на скорую руку. Вместо опасного б...",2 звезды
"""Всем доброго времени суток! Уже не в первый раз п...",5 звезд
"""Хочу поблагодарить ваш салон! Осталась довольна с...",5 звезд
"""Место отличное, стригся там недавно. Всё на очень...",5 звезд
"""Классная сеть, цены очень низкие для такого качес...",5 звезд
"""Шикарный сервис, хорошее отношение к клиентам и б...",5 звезд
"""Записывала ребёнка на стрижку,ребёнок доволен нов...",5 звезд
""" ""Стрижём здесь ребёнка качество лучше чем в спец...",2 звезды
"""Хороший барбершоп, отличный персонал, приятная об...",5 звезд
"""Рекомендую это классное место всем мужчинам, парн...",5 звезд
"""Отличное место, удобно записаться и четко по врем...",5 звезд
"""Заведение на уровне, марку держит, при случае обя...",3 звезды
"""Если первый раз трудно найти, вход со двора и есл...",4 звезды
""" ""Очень хорошее место. Подстигли и побрили  очень...",5 звезд
"""Чаще всего посещаю данный барбершоп, пытался смен...",4 звезды
"""Отлично стригут за не большую плату. Уже не первы...",5 звезд
"""Обратились для стрижки, записались по телефону. П...",2 звезды
"""Ходил на стрижку в этот барбер, все понравилось, ...",5 звезд
"""Не приняли за 30 мин до закрытия. Все мастера раз...",2 звезды
"""отличное место, отлично стригут, цена гуманная, ч...",5 звезд
"""Топовые место , больше полу года хожу к мастеру Б...",5 звезд
"""Очень бюджетно, но при этом стригут лучше, чем ож...",4 звезды
""" ""супер. очень доволен что в митино есть этот бар...",5 звезд
"""Отличное качество и самое главное адекватная цена...",4 звезды
"""Хорошее, спокойное место , мастера знают своё дел...",5 звезд
"""Хожу сюда в основном к Хану, отличный мастер.""",5 звезд
""" ""Всё отлично. Стригу там сына! Всегда всё хорошо...",4 звезды
"""Всё супер всегда стрижка как нужно. Спасибо масте...",5 звезд
"""Превосходная работа всех мастеров. Муж ходит толь...",5 звезд
"""Все понравилось. Уютно, классная музыка. Мастер у...",5 звезд
"""Получил хорошую скидку, попал на день открытия ба...",2 звезды
""" ""Классная парикмахерская с профессиональными мас...",5 звезд
"""Классное место , крутые ребята , рекомендую""",5 звезд
"""Приехал сюда из барбершопа Бородач, где я был зап...",5 звезд
"""Посетил вчера этот классный барбер шоп!Цены очень...",5 звезд
"""нужно было быстро постричься, позвонил записали н...",4 звезды
"""Стригусь и ровняю бороду с момента открытия. Офор...",5 звезд
"""Очень крутой барбершоп. Нас записали к мастеру Са...",5 звезд
"""Класс. У меня сын там стригся нравится. Советую.""",5 звезд
"""Недавно посетил, цены очень приятно удивили. Маст...",5 звезд
"""Очень хорошее заведение, отлично делают свою рабо...",5 звезд
"""Оцениваю по качеству, не по атмосфере  дома я мод...",1 звезда
"""Отличное место, Мастер понял меня с 2ух слов 1. К...",5 звезд
"""Классный барбер шоп!Мастера отлично работают,цены...",5 звезд
"""Сходил в эту место,чтоб изменить стиль прически.Н...",2 звезды
"""Очень хороший барбершоп, уже год стригусь только ...",5 звезд
""" ""Отличный Барбер. Всё чётко и по делу.""""",5 звезд
"""Спасибо, очень понравилась стрижка, быстро, качес...",5 звезд
"""Понравилось, как стригут мальчишек и поиграть мож...",4 звезды
"""Хожу туда постоянно. Дешевле чем в топ Ган, урове...",4 звезды
"""Понадобилось срочно подстричься в вечер перед отм...",4 звезды
"""Прекрасное соотношение цены и качества оказываемы...",5 звезд
"""Совсем недавно был в данном барбер шопе, все очен...",5 звезд
"""Хороший барбершоп, парикмахер не сразу понял как ...",5 звезд
"""Сегодня стригся у мастера Бек!Очень доволен стриж...",1 звезда
"""Как же здорово что в Митино появилось Чёрная Кост...",3 звезды
"""Очень нравиться там детям! Быстро все делают . Чт...",3 звезды
"""Сегодня первый нас был в барбершопе.Все очень пон...",5 звезд
"""Вежливый админ , мастера , прям МАСТЕРА своего де...",4 звезды
"""Качество сервиса иной раз превосходит цену, что р...",5 звезд
"""Отличное , атмосферное место . Мастер Хан сделал ...",5 звезд
"""Отлично подстригли. Записался. Приехал. Все Ок. М...",5 звезд
"""Более года пользуюсь этой сетью барбер шопов, жда...",5 звезд
"""Мастер Хан лучший , мне нравится как все он делае...",5 звезд
"""Привела ребенка подстричь,все понравилось. Мастер...",5 звезд
"""Профессиональные мастера как по стрижки так и по ...",1 звезда
"""Отличная обстановка и сервис. Хорошие мастера по ...",5 звезд
"""Отлично постригли. Приятная девушка администратор...",5 звезд
"""Хорошее место. Недалеко от метро. Сервис и качест...",5 звезд
"""Всё понравилось, были впервые, пришла с мужем за ...",5 звезд
"""Удобно, быстро и не дорого. Нет Парковки. Есть на...",5 звезд
"""Был на днях в данном барбер шопе!Остался доволен ...",5 звезд
"""Был тут первый раз, все отлично! Постригли даже л...",3 звезды
"""Отличный салон! Ходит муж и сын, очень довольны, ...",5 звезд
"""Посетил данный барбер шоп в митино .Только положи...",5 звезд
"""Нормально стригут,ценник гуманный. Постоянно у од...",3 звезды
"""Отличный барбершоп цена качество. Мастер Хан очен...",5 звезд
"""Бек отличный мастер, всегда с удовольствием хожу ...",4 звезды
"""Приводила друга месяц назад, так круто он никогда...",3 звезды
"""Не хуже дорогих барбешопов. Цена качество и скоро...",4 звезды
"""Барбер Бек знает свое дело. Очень понравилось. Пр...",5 звезд
